Имя Катушки;Тип катушки;Тип оболочки;Толщина стены;Мин. Радиус Изгиба;Единицы измерения;Внутренний диаметр до усадки;Наружный диаметр;Цвет;Плотность Провода;Единицы измерения массы;Наименование;Обозначение;Стандарт;
TRUBKA_305_TV-40T_18_BLKV;SHEATH;TUBE;0.9;10;MM;18;19.8;Черный;0.06856;GRAM;Трубка 305 ТВ-40Т, 18, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_18_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_20_BLKV;SHEATH;TUBE;1.15;10;MM;20;22.3;Черный;0.09804;GRAM;Трубка 305 ТВ-40Т, 20, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_20_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_22_BLKV;SHEATH;TUBE;1.15;10;MM;22;24.3;Черный;0.10731;GRAM;Трубка 305 ТВ-40Т, 22, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_22_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_25_BLKV;SHEATH;TUBE;1.15;10;MM;25;27.3;Черный;0.12121;GRAM;Трубка 305 ТВ-40Т, 25, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_25_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_30_BLKV;SHEATH;TUBE;1.3;10;MM;30;32.6;Черный;0.17719;GRAM;Трубка 305 ТВ-40Т, 30, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_30_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_35_BLKV;SHEATH;TUBE;1.3;10;MM;35;37.6;Черный;0.2054;GRAM;Трубка 305 ТВ-40Т, 35, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_35_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_40_BLKV;SHEATH;TUBE;2;12;MM;40;44;Черный;0.29449;GRAM;Трубка 305 ТВ-40Т, 40, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_40_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_2x1_BLKV;SHEATH;TUBE;1;10;MM;2x1;4;Черный;0.01209;GRAM;Трубка 305 ТВ-40Т, 2x1, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_2x1_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_3x1_BLKV;SHEATH;TUBE;1;10;MM;3x1;5;Черный;0.01612;GRAM;Трубка 305 ТВ-40Т, 3x1, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_3x1_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_4x1-2_BLKV;SHEATH;TUBE;1.2;12;MM;4x1.2;6.4;Черный;0.02515;GRAM;Трубка 305 ТВ-40Т, 4x1,2, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_4x1-2_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_4-5x1-2_BLKV;SHEATH;TUBE;1.2;12;MM;4.5x1.2;6.9;Черный;0.02757;GRAM;Трубка 305 ТВ-40Т, 4,5x1,2, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_4-5x1-2_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_5x1-2_BLKV;SHEATH;TUBE;1.2;12;MM;5x1.2;7.4;Черный;0.02999;GRAM;Трубка 305 ТВ-40Т, 5x1,2, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_5x1-2_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_50x4-5_BLKV;SHEATH;TUBE;4.5;15;MM;50x4.5;59;Черный;0.98852;GRAM;Трубка 305 ТВ-40Т, 50x4,5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_50x4-5_BLKV;ГОСТ 19034-82;
